CUSTOMRECORD_4572	4572 Custom Record
CUSTOMRECORD_CU_PDN_NOTICE_HISTORY	CU | Past Due Notice History
CUSTOMRECORD_CASH360_ACCOUNT	Cash 360 Account
CUSTOMRECORD_CASH360_ACCOUNTCATEGORY	Cash 360 Account Category
CUSTOMRECORD_CASH360_CATEGORYMANAGER	Cash 360 Account Category Manager
CUSTOMRECORD_CASH360_ADHOCMANAGER	Cash 360 Adhoc Manager
CUSTOMRECORD_CASH360_PREFERENCE	Cash 360 Preferences
CUSTOMRECORD_CHARGEBACK	Chargeback
CUSTOMRECORD_CHARGEBACK_NOTIFICATION	Chargeback Notification
CUSTOMRECORD_CHARGEBACK_SETTINGS	Chargeback setting
CUSTOMRECORD_8299_CLIENT_AUDIT_TRAIL	Client Audit Trail
CUSTOMRECORD_SUITEL10N_JP_CLOSING_DAY	Closing Day
CUSTOMRECORD_CU_VOUCHER	Collectors Club Vouchers
CUSTOMRECORD_ATLAS_CPR_COMMISSIONLOG	Commission Log
CUSTOMRECORD_TSS_CONFIGURATION_SKYDOCV2	Configuration SkyDoc
CUSTOMRECORD_CU_COST_CENTER	Cost Center
CUSTOMRECORD_COUNTRY	Country
CUSTOMRECORD_JP3867_DOC_NBR	Customer Invoice Summary Doc Nbr
CUSTOMRECORD_SCM_CUSTOMERPARTNUMBER	Customer Part Number
CUSTOMRECORD_CU_CUST_PROCESS_TRANS_REQ	Customer Processing Transaction Requests
CUSTOMRECORD_CU_VE_TRANSFORM	Customer To Vendor Transform
CUSTOMRECORD_DT_TILE	Dashboard Tile
CUSTOMRECORD_DT_TRANSLATIONS	Dashboard Tile Translations
CUSTOMRECORD_CU_DESCOPE_INTEGRATE_TOKEN	Descope Integration Token
CUSTOMRECORD_DAD_FILE	DnD File
CUSTOMRECORD_DAD_FILE_HTML	DnD File Html
CUSTOMRECORD_SCM_ECN_IMPLEMENT_ECO_LOG	ECO Implementation Log
CUSTOMRECORD_ED_PREFERENCE	ED Preferences
CUSTOMRECORD_ECSL_AUDIT_TRAIL_DTL	ESL Audit Trail Details
CUSTOMRECORD_ECSL_AUDIT_TRAIL_HDR	ESL Audit Trail Summary
CUSTOMRECORD_CU_ECHO_PMT_MANIFEST	Echo Payment Manifest
CUSTOMRECORD_CU_ECHO_PMT_CM_MAPPING	Echo Payment Manifest CM Mapping
CUSTOMRECORD_JP_ETRAN_DATA	Electronic Transaction Data
CUSTOMRECORD_ENGINE_SEQUENCE	Engine Sequence
CUSTOMRECORD_SCM_ECN_ENGR_CHANGE_ORDER	Engineering Change Order
CUSTOMRECORD_SCM_ECO_DETAIL	Engineering Change Order Detail
CUSTOMRECORD_SCM_ECN_ECO_TYPE	Engineering Change Order Type
CUSTOMRECORD_FISPAN_VENDOR_BANK_DETAILS	Entity Bank Details (FI) 
CUSTOMRECORD_FISPAN_VBD_LOG	Entity Bank Details (FI) Log
CUSTOMRECORD_CU_EXPO_CHILD	Expo Table
CUSTOMRECORD_NCFAR_ALTDEPRECIATION	FAM Alternate Depreciation
CUSTOMRECORD_NCFAR_ALTMETHODS	FAM Alternate Methods
CUSTOMRECORD_NCFAR_ASSET	FAM Asset
CUSTOMRECORD_NCFAR_ASSETPROPOSAL	FAM Asset Proposal
CUSTOMRECORD_FAM_ASSETREGISTERREPLINE	FAM Asset Register Rep Line
CUSTOMRECORD_FAM_ASSETREGISTERREP	FAM Asset Register Report
CUSTOMRECORD_FAM_ASSETRESETDATA	FAM Asset Reset Data
CUSTOMRECORD_FAM_ASSETSUMMARYREPLINE	FAM Asset Summary Rep Line
CUSTOMRECORD_FAM_ASSETSUMMARYREP	FAM Asset Summary Report
CUSTOMRECORD_NCFAR_TRANSFERACCOUNTS	FAM Asset Transfer Accounts
CUSTOMRECORD_NCFAR_ASSETTYPE	FAM Asset Type
CUSTOMRECORD_NCFAR_ASSETUSAGE	FAM Asset Usage
CUSTOMRECORD_FAM_ASSETVALUES	FAM Asset Values
CUSTOMRECORD_NCFAR_ALTDEPRDEF	FAM Default Alt Depreciation
CUSTOMRECORD_NCFAR_DEPRHISTORY	FAM Depreciation History
CUSTOMRECORD_NCFAR_DEPRMETHOD	FAM Depreciation Method
CUSTOMRECORD_FAM_DEPRMONTHREPORTLINE	FAM Depreciation Monthly Report Line
CUSTOMRECORD_FAM_DEPRSCHEDREPORT	FAM Depreciation Schedule Report
CUSTOMRECORD_FAM_DEPRSCHEDREPORTLINE	FAM Depreciation Schedule Report Line
CUSTOMRECORD_NCFAR_EXPENSEINCOME	FAM Expense/Income
CUSTOMRECORD_ASSETLIFETIMES	FAM Lifetimes
CUSTOMRECORD_FAM_PAPERSIZE	FAM Paper Size
CUSTOMRECORD_FAM_PROCESS	FAM Process
CUSTOMRECORD_NCFAR_ALTDEPR_PROPOSAL	FAM Proposal Alt Depreciation
CUSTOMRECORD_FAM_RECENT_DIAGNOSIS	FAM Recent Diagnosis
CUSTOMRECORD_REPAIRMAINTCATEGORY	FAM Repair & Maint Category
CUSTOMRECORD_REPAIRMAINTSUBCATEGORY	FAM Repair & Maint Sub A
CUSTOMRECORD_REPAIRMAINTSUBCATEGORYB	FAM Repair & Maint Sub B
CUSTOMRECORD_FAM_REPORT	FAM Report
CUSTOMRECORD_FAM_REPORT_TEMPLATE	FAM Report Template
CUSTOMRECORD_FAM_SPECIALDEPRECIATION	FAM Special Depreciation
CUSTOMRECORD_NCFAR_SYSTEMSETUP	FAM System Setup
CUSTOMRECORD_FAM_TPAF_MAPPING	FAM Transaction Field Map
CUSTOMRECORD_DAD_ENABLED_RECORD_TYPE	File Drag and Drop Record Type
CUSTOMRECORD_TSS_GD_SKYDOC_INTEGRATION	GDrive Skydoc Integration Matching Issue
CUSTOMRECORD_TAF_REP_CONFIG	GoBD TAF Report Config
CUSTOMRECORD_CU_GRADING_CERT_DETAIL	Grading Service Detail
CUSTOMRECORD_MODE_OF_TRANSPORT	ITR Mode of Transport
CUSTOMRECORD_STATISTICAL_PROCEDURE	ITR Statistical Procedure
CUSTOMRECORD_SUPPLEMENTARY_UNIT	ITR Supplementary Unit
CUSTOMRECORD_ITR_SYSTEM_PARAMETER	ITR System Parameter
CUSTOMRECORD_ATLAS_INV_ADJ_REASN	Inventory Adjustment Reason
CUSTOMRECORD_SUITEL10N_JP_IDS_GEN_BATCH	Invoice Summary Generation Batch
CUSTOMRECORD_JP_LOC_GEN_REQUEST	Invoice Summary Generation Request
CUSTOMRECORD_ITEM360_USER_ACCESS	Item 360 Access
CUSTOMRECORD_ITEM360_CRITERIA_CONFIG	Item 360 Criteria Configuration
CUSTOMRECORD_ITEM360_CRITERIA_GRID	Item 360 Criteria Grid
CUSTOMRECORD_EDP_ITEM_CATEGORY	Item Category
CUSTOMRECORD_CU_ITEM_GENRE	Item Genre
CUSTOMRECORD_CU_ITEM_NOTE	Item Notes
CUSTOMRECORD_ITEM_REJECTION_REASON	Item Rejection Reason
CUSTOMRECORD_SCM_ITEM_SUBSTITUTE	Item Substitute
CUSTOMRECORD_JPMC_CONF	J.P. Morgan Plugin Configuration
CUSTOMRECORD_JPMC_TRANSACTIONS	J.P. Morgan Transaction Info
CUSTOMRECORD_JPMC_USER_CUSTOMIZATION	J.P. Morgan User Customization
CUSTOMRECORD_JP_COMP_INCOME_REPORTS	JP Comparative Income Statement Reports
CUSTOMRECORD_JP_CUSTOMER_HIERARCHY	JP Customer Hierarchy
CUSTOMRECORD_JP_DOCUMENT_TYPE	JP Document Type
CUSTOMRECORD_JP_L10N_COMPONENT	JP L10n Component
CUSTOMRECORD_JP_PRINTHISTORY	JP Print History
CUSTOMRECORD_JP_SEND_RECEIVE	JP Send or Receive
